Team,W,L,RS,RA,Playoff_Status_2025
Milwaukee Brewers,97,65,806,634,Clinched Best League Record
Philadelphia Phillies,96,66,778,648,Clinched Division
Los Angeles Dodgers,93,69,825,683,Clinched Division
Chicago Cubs,92,70,793,649,Clinched Wild Card
San Diego Padres,90,72,702,621,Clinched Wild Card
Cincinnati Reds,83,79,716,681,Clinched Wild Card
New York Mets,83,79,766,715,Eliminated from Playoff Contention
San Francisco Giants,81,81,705,684,Eliminated from Playoff Contention
Arizona Diamondbacks,80,82,791,785,Eliminated from Playoff Contention
Miami Marlins,79,83,709,798,Eliminated from Playoff Contention
St. Louis Cardinals,78,84,689,754,Eliminated from Playoff Contention
Atlanta Braves,76,86,724,734,Eliminated from Playoff Contention
Pittsburgh Pirates,71,91,583,645,Eliminated from Playoff Contention
Washington Nationals,66,96,687,899,Eliminated from Playoff Contention
Colorado Rockies,43,119,597,1021,Eliminated from Playoff Contention
