Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,All_Star
8,Adri�n Morej�n*,26,SDP,NL,2.4,13,6,0.684,2.08,75,0,9,0,0,3,73.2,49,23,17,2,17,3,70,0,0,2,286,206,2.28,0.896,6,0.2,2.1,8.6,4.12,Yes
34,Robert Suarez,34,SDP,NL,2.3,4,6,0.4,2.97,70,0,56,0,0,40,69.2,47,24,23,6,16,2,75,2,0,1,269,144,2.88,0.904,6.1,0.8,2.1,9.7,4.69,Yes
54,Carlos Est�vez,32,KCR,AL,2.1,4,5,0.444,2.45,67,0,57,0,0,42,66,48,22,18,5,22,6,54,4,1,2,269,168,3.67,1.061,6.5,0.7,3,7.4,2.45,Yes
57,Aroldis Chapman*,37,BOS,AL,3.5,5,3,0.625,1.17,67,0,43,0,0,32,61.1,28,9,8,3,15,0,85,0,0,6,228,351,1.73,0.701,4.1,0.4,2.2,12.5,5.67,Yes
65,Jason Adam,33,SDP,NL,2.4,8,4,0.667,1.93,65,0,4,0,0,0,65.1,50,18,14,4,25,3,70,3,0,3,270,222,3.07,1.148,6.9,0.6,3.4,9.6,2.8,Yes
75,Andr�s Mu�oz,26,SEA,AL,2.4,3,3,0.5,1.73,64,0,47,0,0,38,62.1,36,18,12,2,28,3,83,4,0,7,254,219,2.43,1.027,5.2,0.3,4,12,2.96,Yes
82,Edwin D�az,31,NYM,NL,3,6,3,0.667,1.63,62,0,48,0,0,28,66.1,37,14,12,4,21,0,98,8,0,7,258,248,2.28,0.874,5,0.5,2.8,13.3,4.67,Yes
135,Randy Rodr�guez,25,SFG,NL,1.9,3,5,0.375,1.78,50,0,15,0,0,4,50.2,34,12,10,4,11,0,67,4,0,2,198,225,2.41,0.888,6,0.7,2,11.9,6.09,Yes
136,Trevor Megill,31,MIL,NL,1.5,6,3,0.667,2.49,50,0,44,0,0,30,47,36,16,13,3,17,3,60,0,0,2,192,168,2.5,1.128,6.9,0.6,3.3,11.5,3.53,Yes
147,Josh Hader*,31,HOU,AL,2.3,6,2,0.75,2.05,48,0,41,0,0,28,52.2,29,16,12,8,16,1,76,2,0,2,206,205,3.25,0.854,5,1.4,2.7,13,4.75,Yes
198,Logan Webb,28,SFG,NL,3.9,15,11,0.577,3.22,34,34,0,0,0,0,207,210,82,74,14,46,0,224,6,0,2,856,124,2.6,1.237,9.1,0.6,2,9.7,4.87,Yes
205,Carlos Rod�n*,32,NYY,AL,4.6,18,9,0.667,3.09,33,33,0,0,0,0,195.1,132,74,67,22,73,0,203,9,0,4,789,132,3.78,1.049,6.1,1,3.4,9.4,2.78,Yes
208,Yusei Kikuchi*,34,LAA,AL,3.3,7,11,0.389,3.99,33,33,0,0,0,0,178.1,180,87,79,24,74,3,174,3,0,8,772,107,4.23,1.424,9.1,1.2,3.7,8.8,2.35,Yes
209,Freddy Peralta,29,MIL,NL,5.5,17,6,0.739,2.7,33,33,0,0,0,0,176.2,124,54,53,21,66,0,204,9,2,4,723,154,3.65,1.075,6.3,1.1,3.4,10.4,3.09,Yes
224,Garrett Crochet*,26,BOS,AL,6.3,18,5,0.783,2.59,32,32,0,1,1,0,205.1,165,62,59,24,46,0,255,3,3,7,814,159,2.89,1.028,7.2,1.1,2,11.2,5.54,Yes
226,Max Fried*,31,NYY,AL,4.5,19,5,0.792,2.86,32,32,0,0,0,0,195.1,164,73,62,14,51,0,189,10,1,8,801,142,3.07,1.101,7.6,0.6,2.3,8.7,3.71,Yes
228,Paul Skenes,23,PIT,NL,7.6,10,10,0.5,1.97,32,32,0,1,0,0,187.2,136,45,41,11,42,0,216,6,0,2,733,217,2.36,0.948,6.5,0.5,2,10.4,5.14,Yes
