"","ID","Team","Player","G","GS","MP","FG","FGA","PTS","Plus_minus","FG_PCT","points_per_minute"
"1",1,"Boston Celtics","Jayson Tatum",72,72,2624,662,1465,1932,9.2,0.451877133105802,0.736280487804878
"2",2,"Boston Celtics","Derrick White",76,76,2574,424,959,1248,9.7,0.442127215849844,0.484848484848485
"3",3,"Boston Celtics","Payton Pritchard",80,3,2271,409,866,1144,8.8,0.472286374133949,0.503742844561867
"4",4,"Boston Celtics","Jaylen Brown",63,63,2158,518,1118,1398,8.8,0.463327370304114,0.647822057460612
"5",5,"Boston Celtics","Jrue Holiday",62,62,1896,254,573,686,8.7,0.443280977312391,0.361814345991561
"6",6,"Boston Celtics","Al Horford",60,42,1659,195,461,538,12.1,0.422993492407809,0.324291742013261
"7",7,"Boston Celtics","Sam Hauser",71,19,1541,214,474,605,9.7,0.451476793248945,0.392602206359507
"8",8,"Boston Celtics","Luke Kornet",73,16,1361,187,280,441,14.7,0.667857142857143,0.324026451138868
"9",9,"Boston Celtics","Kristaps Porzi??is",42,42,1210,277,574,818,5.7,0.482578397212544,0.67603305785124
"10",10,"Boston Celtics","Neemias Queta",62,6,863,132,203,310,10.1,0.650246305418719,0.359212050984936
"11",11,"Boston Celtics","Jordan Walsh",52,1,403,30,83,82,3.8,0.36144578313253,0.203473945409429
"12",12,"Boston Celtics","Baylor Scheierman",31,2,384,39,110,113,5.4,0.354545454545455,0.294270833333333
"13",13,"Boston Celtics","Xavier Tillman Sr.",33,2,231,13,53,34,-2.4,0.245283018867925,0.147186147186147
"14",14,"Boston Celtics","Torrey Craig",17,3,201,16,45,46,-0.3,0.355555555555556,0.228855721393035
"15",15,"Boston Celtics","Drew Peterson",25,1,186,17,41,54,12.7,0.414634146341463,0.290322580645161
"16",16,"Boston Celtics","Jaden Springer",26,0,141,12,34,45,6.9,0.352941176470588,0.319148936170213
"17",17,"Boston Celtics","JD Davison",16,0,93,12,34,33,-15.5,0.352941176470588,0.354838709677419
"18",18,"Boston Celtics","Miles Norris",3,0,35,2,9,7,-21.9,0.222222222222222,0.2
