Player, +/- per 100 poss,Team
Darius Garland,10.3,Cleveland Cavaliers
Jarrett Allen,11.2,Cleveland Cavaliers
Donovan Mitchell,11.5,Cleveland Cavaliers
Evan Mobley,12.2,Cleveland Cavaliers
Sam Merrill,10.8,Cleveland Cavaliers
Ty Jerome,9.6,Cleveland Cavaliers
Max Strus,8.9,Cleveland Cavaliers
Dean Wade,12.6,Cleveland Cavaliers
Georges Niang,8.2,Cleveland Cavaliers
Isaac Okoro,14.1,Cleveland Cavaliers
Caris LeVert,12.2,Cleveland Cavaliers
De'Andre Hunter,10.3,Cleveland Cavaliers
Craig Porter Jr.,-3.2,Cleveland Cavaliers
Jaylon Tyson,0.1,Cleveland Cavaliers
Tristan Thompson,-11.9,Cleveland Cavaliers
Javonte Green,12.7,Cleveland Cavaliers
Luke Travers,0.7,Cleveland Cavaliers
Emoni Bates,-21.8,Cleveland Cavaliers
Nae'Qwan Tomlin,6,Cleveland Cavaliers
JT Thor,-33.7,Cleveland Cavaliers
Chuma Okeke,14.1,Cleveland Cavaliers
Tyler Herro,1.3,Miami Heat
Bam Adebayo,0.2,Miami Heat
Haywood Highsmith,2.2,Miami Heat
Duncan Robinson,0.6,Miami Heat
Terry Rozier,-3.8,Miami Heat
Kel'el Ware,2.1,Miami Heat
Jaime Jaquez Jr.,-5.3,Miami Heat
Nikola Jovi?,-1.3,Miami Heat
Davion Mitchell,3.3,Miami Heat
Alec Burks,6.2,Miami Heat
Pelle Larsson,3.1,Miami Heat
Jimmy Butler,3.1,Miami Heat
Andrew Wiggins,-3.8,Miami Heat
Kyle Anderson,4.9,Miami Heat
Dru Smith,6.9,Miami Heat
Kevin Love,-3.4,Miami Heat
Josh Richardson,-10.5,Miami Heat
Thomas Bryant,9.7,Miami Heat
Keshad Johnson,4.5,Miami Heat
Josh Christopher,1.2,Miami Heat
Isaiah Stevens,39.4,Miami Heat
Bub Carrington,-15.1,Washington Wizards
Jordan Poole,-13.7,Washington Wizards
Bilal Coulibaly,-13.6,Washington Wizards
Alex Sarr,-13.7,Washington Wizards
Kyshawn George,-9.6,Washington Wizards
Corey Kispert,-9.2,Washington Wizards
Justin Champagnie,-9,Washington Wizards
Jonas Valan?i?nas,-16.5,Washington Wizards
Kyle Kuzma,-21,Washington Wizards
AJ Johnson,-13.1,Washington Wizards
Malcolm Brogdon,-9.8,Washington Wizards
Richaun Holmes,-3.3,Washington Wizards
Tristan Vukcevic,-10.8,Washington Wizards
Anthony Gill,-7.7,Washington Wizards
Colby Jones,-14.7,Washington Wizards
Jared Butler,-5.5,Washington Wizards
Khris Middleton,-5,Washington Wizards
Marcus Smart,-5.5,Washington Wizards
Johnny Davis,-5,Washington Wizards
Jaylen Martin,-26.1,Washington Wizards
JT Thor,-17.1,Washington Wizards
Marvin Bagley III,-7.4,Washington Wizards
Patrick Baldwin Jr.,11.4,Washington Wizards
Jalen McDaniels,15.1,Washington Wizards
